nr_2012,latid_noiseUL,longit_noiseUL,latid_noiseUM2,longit_noiseUM2
212,49.35147,31.33371,49.31414,31.29978
213,49.34033,31.411,49.25814,31.36451
214,49.31077,31.3496,49.43211,31.39524
215,49.31379,31.31969,49.2328,31.41749
216,49.36608,31.3611,49.37661,31.26027
217,49.28165,31.27655,49.37361,31.38151
218,49.29393,31.35223,49.3868,31.3
219,49.33697,31.37315,49.19535,31.34916
220,49.33452,31.37502,49.2834,31.41215
221,49.34878,31.27674,49.35725,31.39933
222,49.30495,31.33761,49.30621,31.39141
223,49.38699,31.24826,49.42157,31.26887
224,49.43169,31.25515,49.36182,31.14446
225,49.41366,31.29311,49.42641,31.31742
226,49.36533,31.2578,49.39588,31.28774
227,49.44234,31.29954,49.42601,31.24231
228,49.39149,31.34346,49.50833,31.34953
229,49.38818,31.28582,49.38693,31.25702
230,49.35644,31.28224,49.37678,31.31439
231,49.45893,31.25877,49.40147,31.35092
232,49.26382,31.93744,49.18488,31.83899
233,49.15243,31.89075,49.21072,31.91147
234,49.23584,31.82807,49.20336,31.9867
235,49.19846,31.86172,49.12718,31.89611
236,49.24236,31.86481,49.25861,31.97165
237,49.27331,31.87925,49.2028,31.85252
238,49.20606,31.89512,49.2405,31.90259
239,49.12711,31.86233,49.15969,31.88446
240,49.47287,32.02035,49.4473,32.01983
241,49.40503,32.06734,49.40268,32.0225
242,49.53221,32.05144,49.40324,32.03866
243,49.35254,32.01129,49.38155,32.03027
244,49.42965,32.04579,49.54826,32.12786
245,49.41972,32.15265,49.49744,32.02215
246,49.42395,32.01963,49.37962,32.05861
247,49.3898,32.06267,49.42542,32.10571
248,49.40537,32.05592,49.39125,32.07038
249,49.43036,32.02089,49.34142,32.0113
250,49.48421,32.06019,49.36252,32.08735
251,49.38308,32.03505,49.3517,32.1701
252,50.20561,28.63805,50.16601,28.63242
253,50.15164,28.6133,50.14233,28.63914
254,50.1717,28.69194,50.1572,28.59094
255,50.11382,28.59912,50.14595,28.58408
256,50.15199,28.63981,50.13994,28.61272
257,50.08551,28.63377,50.23095,28.71369
258,50.12675,28.60016,50.09042,28.62197
259,50.19572,28.65238,50.2622,28.63312
260,50.12506,28.67104,50.1855,28.63174
261,50.20716,28.54524,50.20496,28.59644
262,50.14244,28.64381,50.22416,28.66809
263,50.14904,27.98515,50.23563,27.94345
264,50.11534,27.96002,50.0781,27.90398
265,50.16254,28.03109,50.18248,27.98033
266,50.12505,27.98662,50.12189,27.94221
267,50.16506,27.92313,50.13478,27.94539
268,50.14985,27.92269,50.19794,28.01467
269,50.15196,27.90574,50.15064,27.91698
270,50.13894,27.93466,50.22231,27.94307
271,50.25117,28.66688,50.23176,28.70284
273,50.23399,28.60077,50.24294,28.55805
274,50.25515,28.6833,50.3338,28.63371
275,50.2632,28.62632,50.30233,28.61526
276,50.22824,28.68864,50.16803,28.66247
277,50.26262,28.66913,50.28174,28.69188
281,50.34338,28.67375,50.29594,28.63658
282,50.96301,28.60019,50.90827,28.64514
283,50.9347,28.56776,50.93058,28.66902
284,50.92591,28.67636,50.9078,28.62584
285,50.96268,28.70906,50.9034,28.61777
286,51.0013,28.63371,50.96955,28.60671
287,50.96453,28.62744,50.92435,28.69857
288,50.96946,28.61329,50.9692,28.55052
289,50.96057,28.56621,50.96711,28.66277
290,50.91353,28.62858,50.97673,28.64257
291,50.97873,28.7128,50.94106,28.58512
292,50.30603,29.17135,50.42122,29.208
294,50.40388,29.10924,50.32321,29.12504
295,50.41513,29.08245,50.34745,29.09821
296,50.34354,29.12429,50.35555,29.09543
297,50.42775,29.10119,50.39355,29.14767
298,50.34056,29.08456,50.42101,29.08913
299,50.34077,29.18061,50.34341,29.21641
301,50.41463,29.09032,50.36253,29.09092
302,46.64472,32.58944,46.71504,32.57433
303,46.70332,32.56634,46.56975,32.65929
304,46.67547,32.61522,46.61951,32.53952
305,46.65153,32.58686,46.60318,32.54227
306,46.59873,32.58797,46.58409,32.6052
307,46.61303,32.62862,46.62096,32.6408
308,46.65936,32.56689,46.65417,32.56755
309,46.66697,32.62525,46.65971,32.71352
310,46.60822,32.60789,46.70617,32.59615
311,46.62164,32.5458,46.57832,32.65916
312,46.66607,32.64234,46.64413,32.69234
313,46.66281,32.59337,46.57209,32.54613
314,46.5962,32.57553,46.6226,32.61674
315,46.74717,33.2894,46.78877,33.35178
316,46.83924,33.33663,46.76248,33.32943
317,46.72202,33.34794,46.70387,33.36079
318,46.8401,33.33895,46.72153,33.40597
319,46.70274,33.40623,46.65569,33.31039
320,46.78015,33.41967,46.7216,33.40691
321,46.78288,33.35331,46.70814,33.3359
322,46.77773,33.31874,46.79445,33.34491
323,46.79134,33.37626,46.86298,33.37893
324,46.74001,33.40778,46.81848,33.28686
325,46.77162,33.3758,46.7703,33.24688
326,46.82673,33.38245,46.76283,33.39938
327,46.77796,33.40001,46.83563,33.43729
328,46.78234,33.36228,46.79646,33.30094
329,46.59082,32.4938,46.55581,32.40961
330,46.48334,32.54428,46.53059,32.53374
331,46.44547,32.50578,46.56926,32.54161
332,46.51055,32.50257,46.59763,32.44202
333,46.5554,32.48391,46.57177,32.62627
334,46.50892,32.59812,46.58088,32.44511
335,46.56526,32.51376,46.40019,32.57137
336,46.49559,32.4399,46.45896,32.48618
337,46.38012,33.55043,46.31955,33.4828
338,46.41463,33.55777,46.41145,33.49284
339,46.32902,33.51763,46.41427,33.64045
340,46.36434,33.50067,46.33035,33.54657
341,46.32985,33.52417,46.41637,33.6092
342,46.36162,33.53268,46.43753,33.57455
343,46.40693,33.49458,46.32769,33.56644
344,46.33399,33.50686,46.36881,33.50424
345,46.97134,32.04183,46.88391,32.03473
346,46.98393,32.01733,46.98676,32.07889
347,46.9549,32.05764,46.9424,31.97765
348,46.89969,31.98616,46.92548,32.0008
349,47.03437,32.05418,46.87805,32.04526
350,46.86102,32.12181,46.90582,32.02585
351,46.92649,32.03223,46.86669,32.02173
352,46.93901,32.02081,46.94199,32.12195
353,46.93716,31.91382,46.86263,32.03647
354,46.96635,31.9662,46.91473,31.9345
355,46.8588,31.9267,46.82088,32.11535
357,46.93118,32.07649,46.95221,31.99031
358,46.86641,31.97256,46.8883,32.06557
360,46.94324,32.02725,46.95833,31.95506
